id,type,identifier,label,familyName,givenName,sortLabel,officialFamilyName,officialGivenName
person/866,Person,866,Guy FERNANDEZ,Fernandez,Guy,FERNANDEZ,,
person/1399,Person,1399,David R. MORRIS,Morris,David R.,MORRIS,,
person/1845,Person,1845,Lutz GOEPEL,Goepel,Lutz,GOEPEL,,
person/1007,Person,1007,Gianfranco FINI,Fini,Gianfranco,FINI,,
person/28339,Person,28339,Daniel STROŽ,Strož,Daniel,STROZ,,
person/197548,Person,197548,Radosław SIKORSKI,Sikorski,Radosław,SIKORSKI,,
person/1642,Person,1642,Benedikt HÄRLIN,Härlin,Benedikt,HAERLIN,,
person/1287,Person,1287,Pat COX,Cox,Pat,COX,,
person/387,Person,387,Dante GRAZIOSI,Graziosi,Dante,GRAZIOSI,,
person/203,Person,203,Josef OESTERLE,Oesterle,Josef,OESTERLE,,
person/28379,Person,28379,Adam GIEREK,Gierek,Adam,GIEREK,,
person/2284,Person,2284,Alfonso NOVO BELENGUER,Novo Belenguer,Alfonso,NOVOBELENGUER,,
person/197690,Person,197690,André ROUGÉ,Rougé,André,ROUGE,,
person/28842,Person,28842,Raymond LANGENDRIES,Langendries,Raymond,LANGENDRIES,,
person/124987,Person,124987,Liadh NÍ RIADA,Ní Riada,Liadh,NIRIADA,,
person/1659,Person,1659,Yvette M. FUILLET,Fuillet,Yvette M.,FUILLET,,
person/125025,Person,125025,Marcel DE GRAAFF,de Graaff,Marcel,GRAAFF,,
person/256840,Person,256840,Jan FARSKÝ,Farský,Jan,FARSKYJ,,
person/1230,Person,1230,Günter TOPMANN,Topmann,Günter,TOPMANN,,
person/4459,Person,4459,Paulo PORTAS,Portas,Paulo,PORTASP,,
person/197567,Person,197567,Karen MELCHIOR,Melchior,Karen,MELCHIORK,,
person/4260,Person,4260,Eija-Riitta KORHOLA,Korhola,Eija-Riitta,KORHOLA,,
person/96890,Person,96890,Mario PIRILLO,Pirillo,Mario,PIRILLO,,
person/96729,Person,96729,Santiago FISAS AYXELÀ,Fisas Ayxelà,Santiago,FISASAYXELA,,
person/96652,Person,96652,Alajos MÉSZÁROS,Mészáros,Alajos,MESZAROS,,
person/1882,Person,1882,José Javier POMÉS RUIZ,Pomés Ruiz,José Javier,POMESRUIZ,,
person/34232,Person,34232,Kristian VIGENIN,Vigenin,Kristian,VIGENIN,Вигенин,Кристиан
person/187917,Person,187917,Marc BOTENGA,Botenga,Marc,BOTENGA,,
person/2103,Person,2103,Alan Leslie GILLIS,Gillis,Alan Leslie,GILLIS,,
person/1387,Person,1387,Richard J. SIMMONDS,Simmonds,Richard J.,SIMMONDS,,
person/34002,Person,34002,Maria PETRE,Petre,Maria,PETRE MARIA,,
person/96717,Person,96717,Robert DUŠEK,Dušek,Robert,DUSEK,,
person/912,Person,912,Mario CAPANNA,Capanna,Mario,CAPANNA,,
person/1636,Person,1636,Wilhelm F.T. HAHN,Hahn,Wilhelm F.T.,HAHNW,,
person/28481,Person,28481,Sajjad KARIM,Karim,Sajjad,KARIM,,
person/1801,Person,1801,Michel COLLINOT,Collinot,Michel,COLLINOT,,
person/124803,Person,124803,Isabella DE MONTE,De Monte,Isabella,DEMONTE,,
person/1821,Person,1821,Jean BESSE,Besse,Jean,BESSE,,
person/96978,Person,96978,Nuno MELO,Melo,Nuno,MELO,,
person/819,Person,819,Frédéric JALTON,Jalton,Frédéric,JALTON,,
person/500,Person,500,Franco CONCAS,Concas,Franco,CONCAS,,
person/1430,Person,1430,Marijke J.H. VAN HEMELDONCK,Van Hemeldonck,Marijke J.H.,VANHEMELDONCKM,,
person/34003,Person,34003,Nicolae Vlad POPA,POPA,Nicolae Vlad,POPA NICOLAE VLAD,,
person/256968,Person,256968,Ingeborg TER LAAK,Ter Laak,Ingeborg,TERLAAKI,,
person/2009,Person,2009,Antonio GONZÁLEZ TRIVIÑO,GONZÁLEZ TRIVIÑO,Antonio,GONZALEZTRIVINO,,
person/1072,Person,1072,Sotiris KOSTOPOULOS,Kostopoulos,Sotiris,KOSTOPOULOS,Κωστόπουλος,Σωτήρης
person/2043,Person,2043,Gianfranco DELL'ALBA,Dell'Alba,Gianfranco,DELLALBA,,
person/86793,Person,86793,Anna CAVAZZINI,Cavazzini,Anna,CAVAZZINI,,
person/28388,Person,28388,Grażyna STANISZEWSKA,Staniszewska,Grażyna,STANISZEWSKA,,
person/124996,Person,124996,Peter LUNDGREN,Lundgren,Peter,LUNDGREN PETER,,
person/822,Person,822,William J. HOPPER,Hopper,William J.,HOPPER,,
person/1180,Person,1180,Michèle BARZACH,Barzach,Michèle,BARZACH,,
person/1151,Person,1151,Leopoldo ORTIZ CLIMENT,Ortiz Climent,Leopoldo,ORTIZ CLIMENT,,
person/256808,Person,256808,Petras GRAŽULIS,Gražulis,Petras,GRAZULISP,,
person/600,Person,600,Ernst W. ACHENBACH,Achenbach,Ernst W.,ACHENBACH,,
person/96916,Person,96916,Rita BORSELLINO,Borsellino,Rita,BORSELLINO,,
person/4742,Person,4742,Franz TURCHI,Turchi,Franz,TURCHI,,
person/577,Person,577,Jacques BAUMEL,Baumel,Jacques,BAUMEL,,
person/96880,Person,96880,Andrea COZZOLINO,Cozzolino,Andrea,COZZOLINO,,
person/170,Person,170,Hermann PÜNDER,Pünder,Hermann,PUENDER,,
person/3,Person,3,Annemarie KUHN,Kuhn,Annemarie,KUHN,,
person/23823,Person,23823,József ÉKES,Ékes,József,EKES,,
person/235,Person,235,Marcel SCHLECHTER,Schlechter,Marcel,SCHLECHTER,,
person/257111,Person,257111,Dario NARDELLA,Nardella,Dario,NARDELLAD,,
person/840,Person,840,Charles GOERENS,Goerens,Charles,GOERENS,,
person/112753,Person,112753,Jozo RADOŠ,Radoš,Jozo,RADOS,,
person/2285,Person,2285,Maria BERGER,Berger,Maria,BERGER,,
person/247,Person,247,Linus MEMMEL,Memmel,Linus,MEMMEL,,
person/1592,Person,1592,Günther MÜLLER,Müller,Günther,MUELLER GUNTHER,,
person/2203,Person,2203,Wolfgang NUSSBAUMER,Nußbaumer,Wolfgang,NUSSBAUMER,,
person/1091,Person,1091,Roberto SPECIALE,Speciale,Roberto,SPECIALE,,
person/2226,Person,2226,Peter Michael MOMBAUR,Mombaur,Peter Michael,MOMBAUR,,
person/2011,Person,2011,Hélène CARRÈRE D'ENCAUSSE,Carrère D'encausse,Hélène,CARRERE,,
person/167,Person,167,Victor Emanuel PREUSKER,Preusker,Victor Emanuel,PREUSKER,,
person/28112,Person,28112,Gay MITCHELL,Mitchell,Gay,MITCHELLG,,
person/1915,Person,1915,Lilli GYLDENKILDE,Gyldenkilde,Lilli,GYLDENKILDE,,
person/96704,Person,96704,Edvard KOŽUŠNÍK,Kožušník,Edvard,KOZUSNIK,,
person/1784,Person,1784,Robert C. BATTERSBY,Battersby,Robert C.,BATTERSBY,,
person/611,Person,611,Knud BRO,Bro,Knud,BRO,,
person/23715,Person,23715,Zygmunt Alojzy CYBULSKI,Cybulski,Zygmunt Alojzy,CYBULSKI,,
person/2170,Person,2170,Susan A. WADDINGTON,Waddington,Susan A.,WADDINGTON,,
person/2249,Person,2249,Franco E. MALERBA,Malerba,Franco E.,MALERBA,,
person/28140,Person,28140,Guy BONO,Bono,Guy,BONO,,
person/1965,Person,1965,Jan MULDER,Mulder,Jan,MULDER,,
person/96796,Person,96796,Ryszard Antoni LEGUTKO,Legutko,Ryszard Antoni,LEGUTKO,,
person/96792,Person,96792,Bogdan Kazimierz MARCINKIEWICZ,Marcinkiewicz,Bogdan Kazimierz,MARCINKIEWICZ,,
person/96758,Person,96758,Gerald HÄFNER,Häfner,Gerald,HAFNER,,
person/220908,Person,220908,Branko GRIMS,Grims,Branko,GRIMSB,,
person/88715,Person,88715,José GUSMÃO,Gusmão,José,GUSMAO,,
person/1345,Person,1345,Antoni GUTIÉRREZ DÍAZ,Gutiérrez Díaz,Antoni,GUTIERREZ DIAZ,,
person/96715,Person,96715,Pavel POC,Poc,Pavel,POC,,
person/921,Person,921,Richard G. CABORN,Caborn,Richard G.,CABORN,,
person/1460,Person,1460,Konstantinos STAVROU,Stavrou,Konstantinos,STAVROU,Σταύρου,Κωνσταντίνος
person/39319,Person,39319,Maria Eleni KOPPA,Koppa,Maria Eleni,KOPPAM,Κοππά,Μαρία-Ελένη
person/1015,Person,1015,Maurice DUVERGER,DUVERGER,Maurice,DUVERGER,,
person/4460,Person,4460,Giovanni PROCACCI,Procacci,Giovanni,PROCACCI,,
person/601,Person,601,Alexander ELBRÄCHTER,Elbrächter,Alexander,ELBRAECHTER,,
person/154,Person,154,Ludwig RATZEL,Ratzel,Ludwig,RATZEL,,
person/1743,Person,1743,Emilio DURAN CORSANEGO,Duran Corsanego,Emilio,DURAN CORSANEGO,,
person/1434,Person,1434,Jessica E.S. LARIVE,Larive,Jessica E.S.,LARIVE,,
person/28172,Person,28172,Pierre SCHAPIRA,Schapira,Pierre,SCHAPIRA,,
person/1687,Person,1687,Sheila FAITH,Faith,Sheila,FAITH,,
person/97058,Person,97058,Guy VERHOFSTADT,Verhofstadt,Guy,VERHOFSTADT,,
person/197718,Person,197718,Nicolás GONZÁLEZ CASARES,González Casares,Nicolás,GONZALEZCASARES,,
person/46,Person,46,Herbert WEHNER,Wehner,Herbert,WEHNER,,
person/247122,Person,247122,Catherine AMALRIC,Amalric,Catherine,AMALRICC,,
